"region","country","iso_code","cases_total","cases_imported","deaths_total","cfr","year"
"AFR0","Benin","BEN",433,0,2,0.005,2022
"AFR0","Burkina Faso","BFA",4,0,0,0,2022
"AFR0","Burundi","BDI",25,0,0,0,2022
"AFR0","Cameroon","CMR",14431,15,279,0.019,2022
"AFR0","Democratic Republic of the Congo","COD",18961,0,298,0.016,2022
"AFR0","Ethiopia","ETH",846,0,27,0.032,2022
"AFR0","Kenya","KEN",3525,0,64,0.018,2022
"AFR0","Liberia","LBR",367,0,0,0,2022
"AFR0","Malawi","MWI",17488,186,576,0.033,2022
"AFR0","Mozambique","MOZ",4378,NA,22,0.005,2022
"AFR0","Nigeria","NGA",23839,0,597,0.025,2022
"AFR0","Rwanda","RWA",24,0,0,0,2022
"AFR0","Somalia","SOM",15653,0,88,0.006,2022
"AFR0","South Africa","ZAF",1,0,0,0,2022
"AFR0","South Sudan","SSD",424,0,1,0.002,2022
"AFR0","Zambia","ZMB",34,0,0,0,2022
"AFR0","Zimbabwe","ZWE",4,1,1,0.25,2022
