"country","region","iso_code","cases_total","deaths_total","year","cases_imported","cfr"
"Burundi","AFRO","BDI",1348,9,2023,NA,0.00667655786350148
"Cameroon","AFRO","CMR",6477,209,2023,NA,0.0322680253203644
"Congo","AFRO","COG",69,5,2023,NA,0.072463768115942
"Democratic Republic of Congo","AFRO","COD",51970,437,2023,NA,0.00840869732538003
"Eswatini","AFRO","SWZ",2,0,2023,NA,0
"Ethiopia","AFRO","ETH",30463,413,2023,NA,0.0135574303253127
"Kenya","AFRO","KEN",8926,145,2023,NA,0.0162446784673986
"Malawi","AFRO","MWI",41219,1179,2023,NA,0.028603314005677
"Mozambique","AFRO","MOZ",39908,156,2023,NA,0.00390899067856069
"Nigeria","AFRO","NGA",3683,128,2023,NA,0.0347542764051045
"South Africa","AFRO","ZAF",1391,47,2023,NA,0.0337886412652768
"South Sudan","AFRO","SSD",1471,2,2023,NA,0.00135961930659415
"Togo","AFRO","TGO",1,0,2023,NA,0
"Uganda","AFRO","UGA",80,10,2023,NA,0.125
"Tanzania","AFRO","TZA",1068,23,2023,NA,0.0215355805243446
"Zambia","AFRO","ZMB",4095,117,2023,NA,0.0285714285714286
"Zimbabwe","AFRO","ZWE",14517,320,2023,NA,0.022043121857133
"Burundi","AFRO","BDI",737,3,2024,NA,0.00407055630936228
"Cameroon","AFRO","CMR",49,0,2024,NA,0
"Comoros","AFRO","COM",10342,149,2024,NA,0.0144072713208277
"Democratic Republic of Congo","AFRO","COD",20964,274,2024,NA,0.0130700248044266
"Ethiopia","AFRO","ETH",22889,205,2024,NA,0.0089562672025864
"Kenya","AFRO","KEN",432,4,2024,NA,0.00925925925925926
"Malawi","AFRO","MWI",252,1,2024,NA,0.00396825396825397
"Mozambique","AFRO","MOZ",8132,18,2024,NA,0.00221347761928185
"Nigeria","AFRO","NGA",6428,185,2024,NA,0.0287803360298693
"South Africa","AFRO","ZAF",11,0,2024,NA,0
"Togo","AFRO","TGO",5,1,2024,NA,0.2
"Uganda","AFRO","UGA",89,5,2024,NA,0.0561797752808989
"Tanzania","AFRO","TZA",4331,73,2024,NA,0.0168552297390903
"Zambia","AFRO","ZMB",20219,637,2024,NA,0.0315050200306642
"Zimbabwe","AFRO","ZWE",20033,399,2024,NA,0.0199171367244047
